Pollinators of Apocynaceae Database,,,,,,,,,,
,,,,,,,,,,
Observations in the database,5061,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Clade number,Subfamily,Tribe,Subtribe,Species,Country,Pollinators/Flower visitors,Higher taxon,Code,Reference,Name used in original publication
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Trigona spinipes ,Hymenoptera: Apidae: Meliponini,4,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Xylocopa grisescens ,Hymenoptera: Xylocopini,4,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Bees,Hymenoptera: Apidae,3,Silva 2013.3,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Erinnyis ello ,Lepidoptera: Sphingidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Callionima grisescens ,Lepidoptera: Sphingidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Noctuídeo sp.1,Lepidoptera: Noctuidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Noctuídeo sp.2,Lepidoptera: Noctuidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Noctuídeo sp.3,Lepidoptera: Noctuidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Noctuídeo sp.4,Lepidoptera: Noctuidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Noctuídeo sp.5,Lepidoptera: Noctuidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Ascia monuste ,Lepidoptera: Pieridae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Urbanus sp. ,Lepidoptera: Hesperiidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Colgia calchas ,Lepidoptera: Hesperiidae,1,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Apis mellifera ,Hymenoptera: Apidae: Apini,4B,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Trigona spinipes ,Hymenoptera: Apidae: Meliponini,4,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Xylocopa grisescens ,Hymenoptera: Xylocopini,4,Queiroz 2009,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium,Brazil,Bees,Hymenoptera: Apidae,3,Silva 2013.3,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium ,Brazil,Bees,Hymenoptera: Apidae,1,Lavor & Ramos 2016,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium ,Brazil,Bees,Hymenoptera: Apidae,1,Lavor & Ramos 2016,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium ,Brazil,Bees,Hymenoptera: Apidae,3,Bezerra 2010,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium ,Brazil,Sphingidae,Lepidoptera: Sphingidae,3,Neto 2013,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma pyrifolium ,Brazil,Phalaenophily,Phalaenophily,1,Pezzini 2008,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco,Argentina,Brachygastra lecheguana,Hymenoptera: Vespidae,2,Galetto & Torres unpublished,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco,Argentina,Polybia ignobilis (avispa negra),Hymenoptera: Vespidae,2,Galetto & Torres unpublished,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco,Argentina,Polybia ruficeps,Hymenoptera: Vespidae,2,Galetto & Torres unpublished,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco,Argentina,Polystes sp.,Hymenoptera: Vespidae,2,Galetto & Torres unpublished,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco,Argentina,Apis mellifera,Hymenoptera: Apidae,2B,Galetto & Torres unpublished,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco,Argentina,sp. 1,Hymenoptera: Halictidae,2,Galetto & Torres unpublished,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco,Argentina,sp. 2,Hymenoptera: Halictidae,2,Galetto & Torres unpublished,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco,Argentina,sp. 1,Diptera: Tachinidae,2,Galetto & Torres unpublished,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco,Argentina,sp. 1,Diptera: Bombilidae,2,Galetto & Torres unpublished,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco,Argentina,sp. 1,Lepidoptera Hesperiidae,2,Galetto & Torres unpublished,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco,Argentina,Agraulis vanillae,Lepidoptera: Heliconidae,2,Galetto & Torres unpublished,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco  ,Argentina ,Camponotus sp. , Hymenoptera: Formicidae ,3,Lin & Bernadello 1999 ,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco  ,Argentina ,Pseudomyrmex sp., Hymenoptera: Formicidae ,3,Lin & Bernadello 1999 ,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco  ,Argentina ,unidentified (2 spp.),Diptera: Bibionidae,3,Lin & Bernadello 1999 ,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco  ,Argentina ,unidentified,Diptera: Syrphidae 1 sp.,3,Lin & Bernadello 1999 ,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco  ,Argentina ,Eumenes sp., Hymenoptera: Vespidae ,3,Lin & Bernadello 1999 ,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco  ,Argentina ,Polybia sp., Hymenoptera: Polybidae ,3,Lin & Bernadello 1999 ,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco  ,Argentina ,unidentified,Diptera: Micropezidae ,3,Lin & Bernadello 1999 ,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco  ,Argentina ,unidentified,Diptera: Calliphoridae 1 sp. ,3,Lin & Bernadello 1999 ,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco  ,Argentina ,Chrisopa sp., Neuroptera ,3,Lin & Bernadello 1999 ,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco  ,Argentina ,unidentified,Coleoptera: Scotylidae ,3,Lin & Bernadello 1999 ,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco  ,Argentina ,unidentified,Coleoptera: Oedemeridae ,3,Lin & Bernadello 1999 ,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco  ,Argentina ,unidentified,Coleoptera: Chrisomaelidae,3,Lin & Bernadello 1999 ,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco  ,Argentina ,unidentified,Lepidoptera: Noctuidae ,3,Lin & Bernadello 1999 ,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma quebracho-blanco  ,Argentina ,unidentified,Lepidoptera: Pyraloidea ,3,Lin & Bernadello 1999 ,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma ramiflorum ,Brazil,Moth,Lepidoptera ,3,"Morellato 1991, unpublished",
1,Rauvolfioids,Aspidospermateae,,Aspidosperma ramiflorum ,Brazil,Zoophily,,1,Rebelo 2006,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma ramiflorum ,Brazil,Zoophily,,1,Scariot 2008,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma sp,Brazil,Moth,Lepidoptera ,1,Aleixo 2013,
1,Rauvolfioids,Aspidospermateae,,Aspidosperma sp.,Brazil,Moth,Lepidoptera ,1,Aleixo 2013,
